record,n_epoch,movement_found,delay_ms,onset_time,peak_time,mep_amplitude_mV,trigger_sample,trigger_time_ms,peak_amp,peak_prominence,peak_area,peak_times,peak_onsets,peak_amps,peak_areas,threshold,noise_median,noise_sigma,fraction_max,n_peaks,emg_ptp_mV,mep_baseline_mV
08_04KK_tms_40MSO_real.hdf,21,False,,,,0.1856011599302292,566990,113398.0,,,,[],[],[],[],4.7951192506590717e-11,8.692221385005964e-12,9.814742780396188e-12,0.0,0,0.0710035382202235,-0.00045203175977803767
08_04KK_tms_40MSO_real.hdf,22,True,184.0,184.0,186.2,0.35988759994506836,592744,118548.8,3.4151797394645774e-10,3.4440972159156896e-10,8.523730403607853e-10,"[186.2, 245.8]","[184.0, 244.2]","[3.4151797394645774e-10, 1.1745826757832264e-10]","[8.523730403607853e-10, 1.6769605526573007e-10]",4.550865185801338e-11,8.278167798983665e-12,9.307621014757428e-12,1.0,2,0.145136489318885,0.000749202270526439
08_04KK_tms_40MSO_real.hdf,23,True,85.6,85.6,87.2,0.06541875749826431,617790,123558.0,1.7965829283635244e-10,1.773960131954861e-10,3.396769154643447e-10,"[87.2, 156.0, 180.8, 209.8]","[85.6, 155.0, 177.8, 207.6]","[1.7965829283635244e-10, 5.3415085591231195e-11, 1.1014469363122111e-10, 9.378785195218647e-11]","[3.396769154643447e-10, 2.4048638635640873e-11, 3.231579512125011e-10, 1.3492731461597285e-10]",3.9241114095958265e-11,7.681151263413693e-12,7.889990708136143e-12,1.0,4,0.1384006975118894,0.0005336271715350449
08_04KK_tms_40MSO_real.hdf,24,False,,,,3.0583174228668213,643210,128642.0,,,,[],[],[],[],4.055681459461817e-11,7.523497389311443e-12,8.258329301326682e-12,0.0,0,0.04587256558629203,0.00019139362848363817
08_04KK_tms_40MSO_real.hdf,25,True,-19.2,-19.2,-16.6,2.279172897338867,668464,133692.8,5.82166483087653e-10,5.831841419115578e-10,1.5465129408079806e-09,"[-76.6, -16.6, 77.6, 97.4, 110.6, 167.6, 187.6]","[-77.8, -19.2, 77.0, 97.0, 110.4, 167.2, 187.2]","[6.317131824574274e-11, 5.82166483087653e-10, 1.3112223912892588e-10, 1.2400756268229555e-10, 8.44459770091725e-11, 7.623833367107722e-11, 7.117053233646129e-11]","[2.623609247678071e-11, 1.5465129408079806e-09, 1.1789840076972804e-10, 1.0832195490276076e-10, 3.8516125504613124e-11, 2.0694831388360398e-11, 1.702516108046724e-11]",4.4757254785462353e-11,7.86559923662486e-12,9.222913887209373e-12,1.0,7,0.31705346042221105,-1.0760048098745756e-05
08_04KK_tms_40MSO_real.hdf,26,True,-29.6,-29.6,-28.6,0.21627962589263916,695010,139002.0,6.649085585517967e-11,6.365695724291836e-11,3.942957393147893e-11,"[-28.6, 78.4, 92.0, 112.0, 162.2, 182.2, 202.2]","[-29.6, 78.0, 91.6, 111.6, 161.8, 181.8, 201.8]","[6.649085585517967e-11, 7.023996710448004e-11, 9.302136593208804e-11, 7.105114707356374e-11, 7.043161326423709e-11, 7.496344565056935e-11, 6.66217168627806e-11]","[3.942957393147893e-11, 3.233149500260874e-11, 5.88030375807947e-11, 1.6244891918417613e-11, 2.063245945094157e-11, 2.3249039941154932e-11, 1.614982883825749e-11]",4.163615432741945e-11,7.512221168197973e-12,8.53098328980537e-12,0.6190476190476191,7,0.26997060790041416,0.0004587664152495563
08_04KK_tms_40MSO_real.hdf,27,False,,,,0.08992070704698563,719264,143852.8,,,,[],[],[],[],3.7984322461696825e-11,7.78024634635047e-12,7.551019028836588e-12,0.0,0,0.11676508777042821,-0.0007317507988773286
08_04KK_tms_40MSO_real.hdf,28,False,,,,0.6304060816764832,744643,148928.6,,,,[],[],[],[],4.209729629419413e-11,7.602742279675553e-12,8.623638503629644e-12,0.0,0,0.08175453742318084,0.000566161994356662
08_04KK_tms_40MSO_real.hdf,29,False,,,,0.3878428041934967,772231,154446.2,,,,[],[],[],[],4.3724911684753575e-11,8.348328606104916e-12,8.844145769662165e-12,0.0,0,0.08975859252558674,-0.00036899943370372057
08_04KK_tms_40MSO_real.hdf,30,True,158.6,158.6,161.0,2.6302762031555176,800277,160055.4,5.320467185232367e-10,5.411911003971787e-10,1.7079266947058783e-09,"[161.0, 190.0, 267.6]","[158.6, 188.6, 263.0]","[5.320467185232367e-10, 1.02409987651431e-10, 7.054070810765089e-10]","[1.7079266947058783e-09, 1.6451531480453793e-10, 2.162226940798889e-09]",3.8322738476761786e-11,7.489353433329239e-12,7.708346260858137e-12,1.0,3,0.22127907895624094,0.0015022684819996357
08_04KK_tms_40MSO_real.hdf,31,True,-38.4,-38.4,-36.0,1.9535820484161377,824905,164981.0,1.3532494385127516e-10,1.4147960697200428e-10,2.616863015205356e-10,"[-36.0, 76.8, 94.6, 114.6, 160.2, 180.4, 200.4]","[-38.4, 76.4, 94.2, 114.2, 160.0, 180.0, 200.2]","[1.3532494385127516e-10, 1.0510090121267085e-10, 1.4278574657466397e-10, 8.538722404162554e-11, 5.999906406821797e-11, 6.829476214690122e-11, 5.604397377594547e-11]","[2.616863015205356e-10, 3.7463139375336425e-10, 1.7930608663637491e-10, 6.60645496411241e-11, 7.751011176578881e-12, 1.558083873711285e-11, 5.139291601771974e-12]",4.4660067895494096e-11,8.411699180769015e-12,9.062092178681271e-12,1.0,7,0.27797798784972916,0.0009301458485424519
08_04KK_tms_40MSO_real.hdf,32,True,215.6,215.6,217.4,0.10544095933437347,850284,170056.8,1.8388927428620786e-10,2.0241225315566472e-10,3.6479849806564104e-10,"[90.8, 217.4, 235.8]","[90.6, 215.6, 234.6]","[7.575678916263087e-11, 1.8388927428620786e-10, 5.401475497593772e-11]","[1.9080253534009312e-11, 3.6479849806564104e-10, 1.1624988665911949e-11]",4.657391054267733e-11,8.137518221294166e-12,9.60909808034579e-12,0.9047619047619048,3,0.21322752526957933,0.00022178773360792547
08_04KK_tms_40MSO_real.hdf,33,False,,,,0.2747385501861572,876205,175241.0,,,,[],[],[],[],4.578355040648817e-11,8.32396909800445e-12,9.36489532712093e-12,0.0,0,0.04677074156155146,2.1896688849665225e-05
08_04KK_tms_40MSO_real.hdf,34,False,,,,1.5204633474349976,900417,180083.4,,,,[],[],[],[],4.684189871014297e-11,8.98194105852403e-12,9.464989412904735e-12,0.0,0,0.11705200101861957,-0.012113473378121853
08_04KK_tms_40MSO_real.hdf,35,True,-72.2,-72.2,-68.0,0.2206943929195404,924129,184825.8,5.725409570946799e-10,5.688133688576909e-10,7.528411590757566e-10,"[-68.0, -40.6]","[-72.2, -42.2]","[5.725409570946799e-10, 1.1021310766915543e-09]","[7.528411590757566e-10, 2.226215857603476e-09]",2.6064298740327815e-10,1.3192879986121347e-11,1.6219927459402266e-11,0.9047619047619048,2,0.14149867729869609,-0.0005454361089505255
08_04KK_tms_40MSO_real.hdf,36,False,,,,2.24137544631958,952258,190451.6,,,,[],[],[],[],4.3157473634037615e-11,7.616538127488172e-12,8.88523387663736e-12,0.0,0,0.05268328220507101,5.3480820497497916e-05
08_04KK_tms_40MSO_real.hdf,37,True,-10.2,-10.2,-8.2,1.7159396409988403,979763,195952.6,1.5662793459253676e-10,1.537114816671409e-10,1.1717998118525812e-09,"[-8.2, 80.0, 98.0, 111.0]","[-10.2, 79.4, 97.6, 110.6]","[1.5662793459253676e-10, 1.632624321842602e-10, 9.56399378196298e-11, 8.07592956837922e-11]","[1.1717998118525812e-09, 2.734838098561393e-10, 4.267953496440304e-11, 1.8467159603916568e-11]",4.802937418242149e-11,8.523031735335862e-12,9.876585611771406e-12,1.0,4,0.24170935419508588,-0.00025340905995108187
08_04KK_tms_40MSO_real.hdf,38,True,75.4,75.4,75.6,0.03910496085882187,1006892,201378.4,5.529563554571623e-11,5.3021745577184983e-11,3.318963480679952e-12,"[75.6, 95.6]","[75.4, 95.4]","[5.529563554571623e-11, 6.699955209612267e-11]","[3.318963480679952e-12, 1.2538213422683369e-11]",4.624284259833566e-11,8.659378137191811e-12,9.395866115285963e-12,0.23076923076923078,2,0.18699811613376066,0.001367809483781457
08_04KK_tms_40MSO_real.hdf,39,False,,,,0.17214761674404144,1035271,207054.2,,,,[],[],[],[],4.4652710385593496e-11,8.069679476794805e-12,9.145757727199673e-12,0.0,0,0.04153606216923937,0.0001483830128563568
08_04KK_tms_40MSO_real.hdf,40,False,,,,,1062526,212505.2,,,,[],[],[],[],4.671450787961996e-11,7.98413610266098e-12,9.682592944239744e-12,0.0,0,0.08353078893171874,
