record,n_epoch,movement_found,delay_ms,onset_time,peak_time,mep_amplitude_mV,trigger_sample,trigger_time_ms,peak_amp,peak_prominence,peak_area,peak_times,peak_onsets,peak_amps,peak_areas,threshold,noise_median,noise_sigma,fraction_max,n_peaks,emg_ptp_mV,mep_baseline_mV
08_06TG_tms_58MSO_real.hdf,27,True,132.6,132.6,135.4,2.267859935760498,709462,141892.4,6.558877095116011e-11,7.4668026170899e-11,8.19582491172231e-11,"[77.6, 90.8, 135.4, 160.4, 178.6, 191.6, 201.8, 215.6, 237.8, 255.4, 268.6]","[77.2, 90.4, 132.6, 155.0, 177.6, 177.6, 200.8, 208.0, 234.6, 253.8, 265.6]","[6.011651472819942e-11, 4.810049808673807e-11, 6.558877095116011e-11, 6.031822353741754e-10, 5.6607808015104725e-11, 1.3162168615334784e-09, 1.932922328768326e-10, 1.3018501269727638e-09, 5.099485650091419e-10, 1.4276243221953295e-10, 5.967054304674737e-11]","[1.677838759420221e-11, 1.3677651598224494e-11, 8.19582491172231e-11, 2.181530256995301e-09, 2.6764086822839494e-10, 4.48180813025951e-09, 3.928944777099695e-10, 4.069506376990961e-09, 1.6056976523816e-09, 2.9094257075289623e-10, 6.235595048545384e-11]",3.4871425284671746e-11,5.92281999030248e-12,7.237151323592316e-12,1.0,11,0.4228293447359792,0.0006236085318960249
08_06TG_tms_58MSO_real.hdf,28,True,121.2,121.2,127.6,1.1301051378250122,733674,146734.8,6.597295109152742e-10,6.632946638212819e-10,2.2051541624002435e-09,"[127.6, 186.2, 198.2]","[121.2, 183.6, 190.8]","[6.597295109152742e-10, 6.842038500398906e-10, 1.2369511510008363e-09]","[2.2051541624002435e-09, 1.9993401378402914e-09, 3.590281275140238e-09]",3.176793510111794e-11,5.314909238065077e-12,6.6132564657632154e-12,1.0,3,0.3203224001476118,-0.0002827011630870402
08_06TG_tms_58MSO_real.hdf,29,True,94.0,94.0,96.6,2.3528292179107666,758844,151768.8,1.8669573175459178e-10,2.0487071154247982e-10,3.9871328803703665e-10,"[96.6, 117.0, 142.8, 162.8, 182.8, 287.4]","[94.0, 116.6, 142.4, 162.4, 182.6, 286.2]","[1.8669573175459178e-10, 5.413118843936235e-11, 4.257905831333868e-11, 4.911869079409472e-11, 4.4584907840114006e-11, 7.31115147342214e-11]","[3.9871328803703665e-10, 3.494391199989587e-11, 7.141385298379142e-12, 1.297043851381735e-11, 9.452105621660827e-12, 1.0065578034594801e-10]",3.026816341992493e-11,5.4378386382907485e-12,6.207581195408544e-12,0.8095238095238095,6,0.19892814488463612,-0.0008529808255843818
08_06TG_tms_58MSO_real.hdf,30,True,116.2,116.2,120.8,0.8232160806655884,786890,157378.0,5.869917451846264e-10,5.915302601316336e-10,1.948923277804547e-09,"[120.8, 131.8, 243.6]","[116.2, 128.8, 238.6]","[5.869917451846264e-10, 2.787500782823433e-10, 2.1530725972070053e-10]","[1.948923277804547e-09, 1.1467203556013956e-09, 5.235596504102659e-10]",3.2096700581632596e-11,5.989647088423785e-12,6.526763373302203e-12,1.0,3,0.2534110528277293,-0.002004061359912157
08_06TG_tms_58MSO_real.hdf,31,True,75.2,75.2,76.2,3.568063259124756,811228,162245.6,7.195557206266257e-11,6.654908176671472e-11,1.939086153890016e-10,"[76.2, 93.8, 113.8, 124.0, 143.8, 164.0, 204.0, 234.0, 254.0]","[75.2, 91.4, 113.0, 123.6, 143.4, 163.4, 203.6, 233.6, 253.6]","[7.195557206266257e-11, 1.104714382431043e-10, 5.711552189895616e-11, 5.490333542650643e-11, 7.336760391110819e-11, 6.802019900991527e-11, 4.30008338738954e-11, 3.8128741260179314e-11, 4.360449372492254e-11]","[1.939086153890016e-10, 1.2219222864655483e-10, 2.1727335764288337e-11, 1.7669000915430712e-11, 4.9956554823915526e-11, 3.6471400311501444e-11, 6.341374968716851e-12, 4.108461119756126e-12, 7.802399518688772e-12]",3.0627575240237216e-11,5.406490295947855e-12,6.30527123607234e-12,0.8095238095238095,9,0.29227201310110695,0.0012393741635605693
08_06TG_tms_58MSO_real.hdf,32,True,86.8,86.8,93.4,0.26584380865097046,836231,167246.2,7.6904186614403e-09,7.3666532399693765e-09,2.564659391197052e-08,"[93.4, 112.8, 127.2, 156.2, 169.8, 226.4]","[86.8, 86.8, 86.8, 155.6, 169.2, 226.2]","[7.6904186614403e-09, 2.2073930522297043e-08, 3.043896893767541e-08, 1.0524306178853619e-10, 7.908984575354001e-11, 4.4800577122978124e-11]","[2.564659391197052e-08, 8.011847079903548e-08, 1.1889607368571957e-07, 6.94947185149469e-11, 4.040493631098919e-11, 4.823300492684198e-12]",3.429156477777868e-11,6.471436158548915e-12,6.955032154807441e-12,1.0,6,2.2274961545958893,0.0006813782965764403
08_06TG_tms_58MSO_real.hdf,33,False,,,,0.018792666494846344,859735,171947.0,,,,[],[],[],[],3.1762667366543256e-11,5.512897815084758e-12,6.562442387864625e-12,0.0,0,0.03179975669754738,0.0012026610784232616
08_06TG_tms_58MSO_real.hdf,34,True,117.0,117.0,120.0,0.9195504188537598,884364,176872.8,4.742812611863444e-10,4.0167998307352633e-10,1.4600735387496542e-09,"[120.0, 130.8, 141.0, 172.8, 208.6, 220.0]","[117.0, 117.0, 117.0, 157.0, 206.4, 214.8]","[4.742812611863444e-10, 6.364610103408323e-09, 1.969589045672912e-08, 8.320587467779554e-10, 1.3472187911754061e-10, 2.654500658248985e-10]","[1.4600735387496542e-09, 2.2452238105796074e-08, 6.672465976512506e-08, 2.6992770245914287e-09, 3.219743705218432e-10, 6.575353845247094e-10]",3.94915912738696e-11,7.607376874865957e-12,7.97105359975091e-12,1.0,6,1.2841587694901797,1.458571023249533e-05
08_06TG_tms_58MSO_real.hdf,35,True,95.6,95.6,98.6,0.564885139465332,911243,182248.6,7.502377436830629e-10,2.693939395035997e-10,3.553024439983996e-09,"[98.6, 110.8, 126.8, 137.4, 156.2]","[95.6, 95.6, 121.8, 132.6, 156.0]","[7.502377436830629e-10, 1.5836213672771796e-08, 8.16847397542568e-10, 9.96374369547966e-10, 5.7189215710252136e-11]","[3.553024439983996e-09, 6.240461309370975e-08, 2.6503403605593678e-09, 2.970035503597821e-09, 1.6023584151661162e-11]",3.9200407284756655e-11,7.507886626418837e-12,7.923130164584454e-12,1.0,5,1.2870803728856903,0.00012817939568776637
08_06TG_tms_58MSO_real.hdf,36,False,,,,0.14074276387691498,936747,187349.4,,,,[],[],[],[],3.6696929839404e-11,6.700051389143737e-12,7.499219612565066e-12,0.0,0,0.040766786119604326,-0.0002608691866043955
08_06TG_tms_58MSO_real.hdf,37,True,80.4,80.4,82.8,1.404144048690796,963626,192725.2,1.510238140777889e-10,1.5750747854052434e-10,3.1457182969885256e-10,"[82.8, 193.4, 204.4, 215.2, 250.2, 271.0]","[80.4, 186.6, 203.8, 214.0, 248.4, 267.6]","[1.510238140777889e-10, 3.035482557899973e-10, 6.767059960110877e-11, 1.3089572254298106e-10, 6.424424045678076e-11, 1.5989115679924657e-10]","[3.1457182969885256e-10, 8.889041274275263e-10, 2.937592999258947e-10, 3.1096673933085174e-10, 5.507419123309697e-11, 4.287007974357391e-10]",3.363857826645138e-11,6.11050430688895e-12,6.8820184898906074e-12,1.0,6,0.18780730122839087,0.00041522967512719333
08_06TG_tms_58MSO_real.hdf,38,True,119.8,119.8,131.2,0.34968301653862,992256,198451.2,1.640226041557098e-08,1.569576621145232e-08,8.101859206972261e-08,"[131.2, 146.2, 191.8, 211.8]","[119.8, 119.8, 191.4, 211.4]","[1.640226041557098e-08, 6.32699632780494e-08, 9.578190891133469e-11, 5.883287867768293e-11]","[8.101859206972261e-08, 2.1927025941805456e-07, 3.9450006424952376e-11, 1.090058230463097e-11]",3.761448578748778e-11,6.545177558242731e-12,7.767327057311263e-12,1.0,4,2.4257589651914047,-0.00034343410516157746
08_06TG_tms_58MSO_real.hdf,39,False,,,,0.40389880537986755,1019510,203902.0,,,,[],[],[],[],3.476393805806549e-11,5.938969035894642e-12,7.206242255542713e-12,0.0,0,0.05866002609965126,0.0018381316913291812
08_06TG_tms_58MSO_real.hdf,40,True,244.8,244.8,251.4,0.3354872167110443,1047848,209569.6,3.0762150856670396e-10,2.9994578281394365e-10,1.128737819711734e-09,"[121.8, 133.4, 160.2, 251.4, 264.8, 276.0, 288.0]","[120.0, 126.6, 154.2, 244.8, 262.0, 262.0, 282.8]","[8.79933085151132e-11, 5.32447018049591e-09, 3.783959117596786e-09, 3.0762150856670396e-10, 4.392952824791793e-10, 6.494880593066053e-10, 2.8685506494252817e-09]","[1.3882077866603152e-10, 1.671249738966573e-08, 1.267396071765321e-08, 1.128737819711734e-09, 1.6589065578921444e-09, 2.2659920634367233e-09, 1.064077798681499e-08]",3.4073403106361725e-11,6.7522453941328465e-12,6.83028942805722e-12,1.0,7,0.6656655716091471,0.0011185584589838982
